category,context,email_body
job_application,"Greshma is applying for a Data Scientist role at BMW, with experience in ML and automotive systems.","Dear Hiring Manager,

I'm writing to express my interest in the Data Scientist position at BMW. With hands-on experience in machine learning and a strong background in automotive technology, I believe I’d be a valuable asset to your innovation-driven team.

Thank you for considering my application.

Best regards,
Greshma Shaji"
job_application,"Alan is applying for a Software Engineer role at SAP, emphasizing his experience with backend systems and distributed databases.","Dear SAP Recruitment Team,

I am excited to apply for the Software Engineer role. My expertise in backend systems and distributed databases aligns well with SAP’s cutting-edge engineering work.

Looking forward to the opportunity to contribute to your team.

Sincerely,
Alan Jose Varghese"
interview_followup,Greshma had an interview yesterday for a Cloud Engineer role at Microsoft.,"Dear [Interviewer’s Name],

Thank you again for the insightful discussion yesterday. I truly enjoyed learning more about the Cloud Engineer role and Microsoft’s team culture. I’m very enthusiastic about the opportunity to contribute.

Warm regards,
Greshma"
interview_followup,Alan had an interview for a Project Manager internship at Bosch.,"Dear [Interviewer’s Name],

Thank you for the opportunity to speak with you about the internship role at Bosch. The conversation reinforced my interest in the position, and I’m excited about the possibility of joining your team.

Best,
Alan"
freelance_proposal,Greshma wants to propose building a portfolio website for a designer using React and Tailwind.,"Hi [Client Name],

I’d love to help you build a sleek and responsive portfolio website using React and Tailwind. Let’s create a digital space that truly reflects your design talent.

Looking forward to hearing your thoughts!

Best,
Greshma"
freelance_proposal,Alan is pitching a logistics dashboard app using Python and Plotly.,"Hi [Client Name],

I’d like to propose building a real-time logistics dashboard using Python and Plotly. It’ll allow you to monitor deliveries, delays, and KPIs in one clean interface.

Let me know if you'd like to discuss further!

Regards,
Alan"
client_onboarding,Greshma is onboarding a new client to her UI/UX consultation service.,"Hi [Client Name],

Welcome aboard! I’m thrilled to start our journey together. In the coming days, I’ll send over the onboarding brief and project schedule.

Let me know if you have any immediate questions!

Best,
Greshma"
client_onboarding,Alan is welcoming a client to a mechanical design consultation project.,"Dear [Client Name],

It’s a pleasure to welcome you to this project. Attached is a brief overview and the first steps we’ll take in designing your mechanical system. Let’s build something great!

Best,
Alan"
cold_outreach,Greshma wants to connect with a hiring manager at NVIDIA to explore data roles.,"Dear [Manager’s Name],

I came across your profile while researching opportunities at NVIDIA. With a background in data science and a passion for cutting-edge tech, I’d love to connect and learn more about your team.

Thanks for your time!

Regards,
Greshma"
cold_outreach,Alan wants to reach out to an alumni working at Porsche Engineering.,"Hi [Alumni Name],

I’m a fellow FAU student and came across your work at Porsche Engineering. Would love to connect and learn about your career journey and the work you do.

Best,
Alan"
thank_you,Greshma wants to thank a professor for writing her a recommendation letter.,"Dear Professor,

Thank you so much for writing me a recommendation letter. I truly appreciate your support and guidance.

Warm regards,
Greshma"
thank_you,Alan is thanking a mentor after an internship.,"Dear [Mentor’s Name],

I want to sincerely thank you for your mentorship during my internship. I learned so much and will carry your advice into my next role.

All the best,
Alan"
